long,lat,alt,model,reg_city,reg_state,mph,Label
-118.213,34.5823,20175,BD-100-1A10,BAKERSFIELD,CALIFORNIA,474,moderate
-117.937,34.6038,36700,737-9,CHICAGO,ILLINOIS,523,risk
-118.035,34.6345,13225,737-7H4,DALLAS,TEXAS,380,safe
-118.075,34.4643,33750,A320-232,BOSTON,MASSACHUSETTS,527,risk
-117.756,34.6002,34725,FALCON 2000EX,SELLERSBURG,INDIANA,525,risk
-117.514,34.4744,43650,BD-100-1A10,STOCKTON,CALIFORNIA,534,highest risk
-117.624,34.5376,38775,737-7H4,DALLAS,TEXAS,527,risk
-117.763,34.5673,26125,525,MESA,ARIZONA,460,moderate
-117.956,34.5818,18675,767-319,WILMINGTON,OHIO,460,moderate
-118.121,34.6135,8275,EMB-135LR,DALLAS,TEXAS,460,moderate
-117.961,34.6441,13825,36A,CARTERSVILLE,GEORGIA,460,moderate
-118.071,34.4863,37825,777-222,CHICAGO,ILLINOIS,557,risk
-117.789,34.5623,24500,525,SANTA MARIA,CALIFORNIA,460,moderate
-118.42,34.3332,31100,737-8H4,DALLAS,TEXAS,518,risk
-118.008,34.5734,21825,ERJ 170-200 LR,ST GEORGE,UTAH,433,moderate
-117.935,34.5732,18875,560,VAN NUYS,CALIFORNIA,460,moderate
-118.282,34.7454,24150,CL-600-2C10,ST GEORGE,UTAH,527,risk
-117.954,34.6435,14125,737-7L9,WILMINGTON,DELAWARE,405,moderate
-118.116,34.616,10800,B300,EL SEGUNDO,CALIFORNIA,260,safe
-117.858,34.511,19275,737-8,DALLAS,TEXAS,460,moderate
-118.203,34.6004,9925,680,LAWRENCEVILLE,GEORGIA,460,moderate
-118.202,34.5937,18150,GALAXY,TOLUCA LAKE,CALIFORNIA,463,moderate
-118.271,34.3975,20300,737-7H4,DALLAS,TEXAS,460,moderate
-117.996,34.7561,5400,182T,REDMOND,WASHINGTON,460,moderate
-118.717,34.487,27125,737-7H4,DALLAS,TEXAS,506,risk
-118.526,34.4329,32250,EMB-135LR,DALLAS,TEXAS,460,risk
-118.447,34.4918,23000,CL-600-2B19,ST GEORGE,UTAH,410,moderate
-117.714,34.7068,25800,737-823,SALT LAKE CITY,UTAH,444,moderate
-117.75,34.4134,37950,HAWKER 800XP,BELLEVUE,WASHINGTON,460,risk
-118.562,34.5343,37675,550,CLOVIS,CALIFORNIA,460,risk
-117.88,34.5771,36700,550,KERMAN,CALIFORNIA,453,risk
-118.403,34.6881,36675,CL-600-2D24,PHOENIX,ARIZONA,520,risk
-117.921,34.6477,13550,GIV-X (G450),TYSONS,VIRGINIA,430,moderate
-117.901,34.596,36675,ERJ 170-200 LR,SEATTLE,WASHINGTON,497,risk
-117.959,34.5679,32650,CL-600-2B19,ST GEORGE,UTAH,511,risk
-118.082,34.7305,15175,SR22T,DULUTH,MINNESOTA,460,moderate
-117.889,34.6713,31575,737-8,DALLAS,TEXAS,534,risk
-118.296,34.7925,24375,PC-12/47E,COTTONWOOD,CALIFORNIA,311,moderate
-118.283,34.4938,16325,737-73V,SALT LAKE CITY,UTAH,440,moderate
-117.733,34.465,34750,550,BEND,OREGON,460,risk
-118.451,34.8988,31575,A319-112,LAS VEGAS,NEVADA,518,risk
-117.799,34.7017,18500,,OKLAHOMA CITY,OKLAHOMA,440,moderate
-118.086,34.6058,32600,737-800,DALLAS,TEXAS,539,risk
-118.639,35.1088,34575,550,BEND,OREGON,460,risk
-118.233,34.7706,12050,A36,AUBURN,CALIFORNIA,207,safe
-118.15,34.6442,19050,G-IV,AUSTIN,TEXAS,456,moderate
-118.084,34.6721,3675,,,,460,moderate
-118.136,34.5039,35650,EMB-135ER,DALLAS,TEXAS,460,risk
-117.753,34.5387,33625,525,WATSONVILLE,CALIFORNIA,460,risk
-117.662,34.6815,14450,EMB-505,LOS ANGELES,CALIFORNIA,460,moderate
-117.999,34.6864,22200,737-7L9,WILMINGTON,DELAWARE,460,moderate
-117.414,34.516,22750,A321-211,SALT LAKE CITY,UTAH,518,risk
-118.319,34.8118,25850,525,MESA,ARIZONA,398,moderate
-117.75,34.5421,25350,HAWKER 800XP,LOS ANGELES,CALIFORNIA,460,moderate
-118.143,34.6137,10600,680A,OKLAHOMA CITY,OKLAHOMA,460,moderate
-118.362,34.5649,8000,HAWKER 900XP,TEMPLE,TEXAS,334,safe
-118.035,34.7784,10450,A185F,CHUGIAK,ALASKA,460,moderate
-117.798,34.7399,4450,,,,460,moderate
-118.014,34.7465,4950,,,,460,moderate
-118.644,35.0388,21200,,,,375,moderate
-118.647,34.5652,20025,737-7L9,SALT LAKE CITY,UTAH,460,moderate
-117.885,34.6512,13575,HAWKER 900XP,WINCHESTER,VIRGINIA,458,moderate
-118.553,34.5461,26825,737-890,SEATTLE,WASHINGTON,495,moderate
-117.678,34.3587,19500,A321-231,LONG ISLAND CITY,NEW YORK,486,moderate
